NO;s_3;s_4;s_45;s_5;s_6;s_7;s_8;s_9;s_10;s_11;s_46_1;s_46_2;s_46_3;s_46_4;s_16;s_17;s_50;s_18;s_19;s_20;s_21;s_22;s_23;s_51;s_24;s_25;s_26;s_27;s_28;s_29;s_52;s_30;s_31;s_32;s_33;s_36_1;s_36_2;s_36_3;s_36_4;s_36_5;s_37_1;s_37_2;s_37_3;s_38;s_39;s_40;s_41_1;s_41_2;s_41_3;s_41_4;s_41_5;s_41_6;s_41_7;s_49_1;s_49_2;s_49_3;s_49_4;s_49_5;s_49_6;s_43_1;s_43_2;s_43_3;s_44
77;5;4;3;3;5;3;3;5;3;4;1;0;0;0;5;5;5;5;4;5;5;;;;;;;;;;;;;;;1;0;1;0;0;1;0;0;3;4;2012;1;0;0;0;0;1;0;1;1;0;0;1;0;1;1;1;1
80;3;3;3;2;3;3;6;3;2;2;1;1;0;0;5;4;5;5;4;5;5;5;4;4;4;4;4;4;;;;;;;;1;0;0;0;0;1;0;0;4;3;2017;1;1;0;0;0;1;0;1;1;0;0;0;0;1;1;1;2
86;3;2;2;5;3;3;3;5;2;3;1;0;0;0;5;5;5;5;4;5;5;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;7;4;1995;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;3
87;3;5;3;4;5;3;3;5;3;3;1;0;1;0;5;5;5;5;5;5;5;;;;;;;;5;5;5;5;5;5;5;0;1;0;0;0;0;0;1;5;3;2002;0;0;0;1;1;1;0;1;0;0;1;1;0;1;1;0;2
88;3;2;2;3;4;3;6;4;1;3;1;1;1;0;4;3;4;3;3;5;4;4;4;4;3;3;5;5;4;4;4;3;3;5;5;1;0;0;0;0;1;0;0;6;3;2003;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;2
89;3;3;3;3;4;3;3;5;3;4;1;1;1;0;4;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;1;0;0;0;0;0;1;0;5;3;2016;1;1;1;1;0;1;0;1;1;0;0;1;0;1;0;0;2
90;4;3;3;3;5;3;2;5;2;3;1;1;1;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;0;0;0;0;1;0;0;6;3;2005;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1
92;4;2;3;5;2;3;3;5;3;5;1;1;1;0;5;4;5;5;4;5;5;4;2;4;3;4;3;3;4;2;4;5;3;4;4;0;0;0;0;1;0;1;1;7;3;2009;0;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;2
93;3;1;3;2;4;3;3;5;2;3;1;1;0;0;4;4;4;4;4;4;4;1;1;3;4;4;2;2;;;;;;;;1;0;0;0;0;1;0;0;7;3;2017;1;0;0;0;0;1;0;1;1;0;1;1;0;1;1;1;2
94;3;2;3;3;5;3;2;5;2;3;1;1;1;0;4;3;4;5;4;5;5;4;1;1;4;4;1;1;4;4;4;5;3;4;4;1;0;0;0;0;1;1;0;5;3;2006;1;0;1;1;0;1;0;1;1;0;0;1;0;1;1;1;2
98;3;3;3;4;5;3;4;4;6;3;1;1;0;0;5;5;4;4;4;4;4;4;4;5;3;4;5;5;;;;;;;;1;0;0;0;0;1;0;0;4;3;2019;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;2
99;2;1;6;6;5;1;6;4;1;2;1;0;0;0;3;2;4;3;2;3;3;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;4;3;2018;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;1;1
101;3;3;3;3;4;3;3;4;3;3;1;0;1;0;5;4;5;4;5;5;5;;;;;;;;5;5;5;5;5;5;5;0;1;0;0;1;1;0;0;5;3;2010;0;0;0;1;0;1;0;1;1;0;1;1;0;1;0;0;2
